accountId,status,transactionId,bookingDate,valueDate,amount,currency,creditorName,debtorName,description,bankTransactionCode,proprietaryBankTransactionCode
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-7eb9507fedf2b2e0,2022-01-01,2022-01-01,-3.30,EUR,,,"BEA   NR:CT365344 01.01.22/15.44 CCV McDonalds Osdorppl,PAS351   AMSTERDAM",,Restaurants and cafes
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-231c7a81f975d786,2022-01-01,2022-01-01,-52.84,EUR,,,"BEA   NR:         01.01.22/17.15 Thuisbezorgd.nl 1SWWFD,PAS000   Utrecht",,Restaurants and cafes
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-bd667a095d26e8d0,2022-01-02,2022-01-02,-130.70,EUR,,,"BEA   NR:5H255T   02.01.22/18.04 ALBERT HEIJN 1027,PAS361        AMSTERDAM",,Food & Household Supplies
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-560917725113ccb1,2022-01-02,2022-01-02,-8.35,EUR,,,"BEA   NR:1XP0QT   02.01.22/18.07 Albert Heijn 1027,PAS351        AMSTERDAM",,Food & Household Supplies
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-aef4f9018693ef48,2022-01-03,2022-01-03,-10.50,EUR,,,SEPA iDEAL                       IBAN: DE64202208000093111064    BIC: SXPYDEHH                    Naam: Amazon EU SARL            Omschrijving: 2F85TIU 0140000402 882651 AmazonRetail             Kenmerk: 03-01-2022 12:30 014000 0402882651,,Gifts
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-9410e75e5b38a2a0,2022-01-03,2022-01-03,-10.76,EUR,,,"BEA   NR:         03.01.22/17.38 Flink BV,PAS000                 Amsterdam",,Food & Household Supplies
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-b7076ea9b95c2a81,2022-01-04,2022-01-04,-45.29,EUR,,,"BEA   NR:         04.01.22/19.08 Thuisbezorgd.nl WTPJBF,PAS000   Utrecht",,Restaurants and cafes
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-e435173efc461631,2022-01-04,2022-01-04,-97.44,EUR,,,SEPA iDEAL                       IBAN: NL27INGB0000026500        BIC: INGBNL2A                    Naam: bol.com b.v.              Omschrijving: 1314703197 0050005 923129497 bol.com ref 1314703197 bol.com                         Kenmerk: 04-01-2022 21:07 0050005923129497,,Self care products
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-a7963d89ea15e488,2022-01-05,2022-01-05,-12.02,EUR,,,SEPA iDEAL                       IBAN: NL04ADYB2017400157        BIC: ADYBNL2A                    Naam: Getir                     Omschrijving: 1656413995301349RY YL 0180200534053999 61d5c4afb2346f9beec48f54:1                   Kenmerk: 05-01-2022 17:19 0180200534053999,,Food & Household Supplies
57c1345d-e265-46f0-bb15-176cf6aa6d4b,booked,old-expense-50a7f8a971b3ca84,2022-01-05,2022-01-05,-67.95,EUR,,,SEPA iDEAL                       IBAN: NL29DEUT0319800040        BIC: DEUTNL2N                    Naam: Zalando Payments GmbH     Omschrijving: 10206115181612 115 0009170296160 10206115181612    Kenmerk: 05-01-2022 20:48 115000 9170296160,,Clothing
